Ticker,2-Year Average Annual Returns,Variance of Daily Returns
SPY,0.09946743061436776,0.019221897818727386
IVV,0.09988543615053917,0.019273703887599494
VTI,0.09750847332985384,0.018931208676831734
VOO,0.10015746011367704,0.0191385554391633
VEA,0.020020712075504796,0.01467423387548185
QQQ,0.12739976355848812,0.036427737536404846
IEFA,0.02086018029174702,0.01448791405646779
AGG,0.029170225840987562,0.0006406380591437408
EFA,0.019185738011568563,0.014332201264979515
VWO,0.03605963252141236,0.028866319108495724
IEMG,0.03129857049905142,0.03040915444935351
IJH,0.06119714237113297,0.019956775355096615
VTV,0.08541939528284168,0.016137041302598763
IWF,0.13281410511040573,0.026171918083649194
IJR,0.06813504806900733,0.0254556932192009
IWM,0.06406203580426184,0.025320369267136777
BND,0.030142570555208623,0.000685423769328916
VUG,0.11335655740529103,0.025711426234437965
IWD,0.06336111699312544,0.015142744527990335
VNQ,0.07622757094713886,0.01855467774527955
VIG,0.11263366753528621,0.016368548346808953
LQD,0.036517014750190736,0.0015147296305331607
EEM,0.029794993800127716,0.03240738927282137
GLD,0.012859436572934728,0.009084951360412801
USMV,0.1176332127358053,0.010991475831457927
VO,0.08159780857979432,0.018490679661368685
VCIT,0.03584713753912874,0.0008422631951837949
VB,0.08299771609361675,0.02197459004319519
VCSH,0.02549522349765077,0.00015771091487937604
XLF,0.10138981076905669,0.028170251790206036
VYM,0.07468096992660109,0.014881534815010077
VEU,0.024205500292014275,0.015945349328427068
IVW,0.128320195233635,0.02452200732197521
BSV,0.020586915829817146,0.0001441598423181782
DIA,0.12197151789826904,0.02075307542829508
XLK,0.1553974364681603,0.03892283669816166
SHV,0.016384147630680437,4.917237920835539e-06
TIP,0.023434298939702624,0.0010265173150327345
SHY,0.01606096776566177,7.963889299656261e-05
ITOT,0.09697744998364756,0.0189726455160992
VGT,0.17794295090426082,0.039546247387865385
IWB,0.09854297512402482,0.01901009940848139
MDY,0.05979676889528587,0.019979720530477398
IWR,0.0984899421528322,0.018108114006846178
SDY,0.09275196856644098,0.013068869870025437
SCHF,0.020227267833318432,0.014168637977629319
XLV,0.09822524616315827,0.021977365788653374
BNDX,0.04267705487993577,0.00038887146004125536
DVY,0.06115788443300497,0.011987624711036286
MBB,0.02300254476601321,0.0005229188335083769
SCHX,0.10027722576664336,0.018892963737336763
HYG,0.03654680815228798,0.002144599103295603
RSP,0.0826013125740574,0.017000763499053655
PFF,0.026575825510025172,0.0017927986260692786
IVE,0.06679603317623414,0.016146722163672043
EMB,0.02544985976180704,0.00250353020790434
SCHB,0.09699734127109536,0.01909260474809549
IEF,0.0274745805497742,0.0016621647877284008
IXUS,0.02486299919884121,0.016002528818457932
VV,0.10041138238842598,0.019219222438150413
TLT,0.05112373952088737,0.008454547874469616
VGK,0.01485861766104973,0.01680993474248484
EWJ,0.013151056494335674,0.017697238923186594
XLY,0.13205173336765624,0.025295136246678004
VBR,0.05213563563349104,0.01920309116536068
MUB,0.03164610473446628,0.0005047446692242883
VT,0.061464933421384614,0.016205360281308315
VXUS,0.018140787780555657,0.016088190040030894
BIV,0.030103771794622425,0.0009470341253051827
MINT,0.02202508231083902,8.447443184395075e-06
IAU,0.014068397881441461,0.00917648997448027
XLE,0.007777724529749934,0.03615478213488773
IGSB,0.030608058866424995,0.00011714854070662209
EFAV,0.033565861069232907,0.008020589081373689
QUAL,0.10421078096836424,0.018935397050672986
SPLV,0.11403726840863894,0.010935414044035429
XLP,0.03213697589815866,0.014761359494923102
GOVT,0.023075202218812846,0.0009051685839280773
IWP,0.13377065848914624,0.024708745233636198
IWS,0.045433829317386536,0.01509688032891169
ACWI,0.06471824901637412,0.016375292268024193
FLOT,0.0208073458788718,5.56685091608134e-05
XLI,0.08015229161552369,0.026033518889136565
SCZ,0.012718692811008563,0.015698718067115335
XLU,0.08459619556497322,0.01693531877482918
IWV,0.09544625827957001,0.019046109067992666
SCHD,0.09577807186755975,0.016467683694497855
VHT,0.1042752813387846,0.02310952819585015
IWO,0.09398397485390109,0.031990092493987946
