Ticker,2-Year Average Annual Returns,Variance of Daily Returns
SPY,0.0982365162136758,7.669097018564524e-05
IVV,0.09850073473460466,7.687090469945904e-05
VTI,0.09616336401281966,7.55017079892607e-05
VOO,0.09879722551933921,7.633432221672679e-05
VEA,0.019523694182860603,5.864844581592149e-05
QQQ,0.125792898751562,0.00014537562234763566
IEFA,0.020359910646408127,5.790355043009025e-05
AGG,0.029215245577640107,2.5621995609769143e-06
EFA,0.018640164035010745,5.7280787674449645e-05
VWO,0.03605963252141236,0.0001154652764339829
IEMG,0.031198142555498284,0.00012163501044842286
IJH,0.06018855014671387,7.962886168256245e-05
VTV,0.08428551415893869,6.438018118036962e-05
IWF,0.1313179850258233,0.00010441832993840513
IJR,0.0673917174341894,0.00010166519780697857
IWM,0.06328104164351751,0.0001011258878762738
BND,0.030142570555208623,2.741695077315664e-06
VUG,0.11190915603681248,0.0001025890765128271
IWD,0.0621662634005963,6.0401484405733224e-05
VNQ,0.07502924996602219,7.427179567061083e-05
VIG,0.11144495764578681,6.53136784020279e-05
LQD,0.036517014750190736,6.058918522132643e-06
EEM,0.02943203039264664,0.00012962529810648673
GLD,0.013097795405631097,3.634123344172194e-05
USMV,0.11637875061403821,4.387501036985635e-05
VO,0.08042649252706609,7.377169790686278e-05
VCIT,0.03584713753912874,3.3690527807351796e-06
VB,0.0817486729619295,8.76592243634756e-05
VCSH,0.025619291868255848,6.298730850042413e-07
XLF,0.10044057873574087,0.00011248498946932795
VYM,0.07348950907883853,5.936298033225342e-05
VEU,0.0238003501859258,6.375391177369096e-05
IVW,0.1268687454011323,9.787242284533683e-05
BSV,0.02064889586381693,5.762576351146309e-07
DIA,0.12093148045692116,8.285498214591867e-05
XLK,0.1535678364102885,0.0001552456670621222
SHV,0.01642915513703238,1.9628939980835655e-08
TIP,0.023650506479568723,4.102814991926734e-06
SHY,0.01611975166780773,3.1821872229453164e-07
ITOT,0.0956249120974702,7.566306511060657e-05
VGT,0.176094623312718,0.00015772714282066594
IWB,0.09720874258304349,7.582155091655233e-05
MDY,0.058675911874258475,7.970312679195886e-05
IWR,0.0971668292992444,7.22046822300375e-05
SDY,0.09167305852452168,5.2144123744056635e-05
SCHF,0.019903372171771298,5.664430484664223e-05
XLV,0.0974867351785458,8.781536020971995e-05
BNDX,0.04267705487993577,1.5554858401650214e-06
DVY,0.06016342993003114,4.781182401435671e-05
MBB,0.02328119430403086,2.0891727387542814e-06
SCHX,0.09883922668635735,7.533684993136907e-05
HYG,0.03619452140026623,8.551452196409374e-06
RSP,0.08137435026378752,6.779698781082535e-05
PFF,0.02643916950434902,7.1663410272461115e-06
IVE,0.0655666924743845,6.43678745188057e-05
EMB,0.025268118142776307,1.000574524320363e-05
SCHB,0.09571753148997587,7.615604956786156e-05
IEF,0.027656605048087392,6.643421754216624e-06
IXUS,0.024161368152228618,6.395310446284037e-05
VV,0.09922847586091128,7.668132968083938e-05
TLT,0.05146148952343929,3.378768800614472e-05
VGK,0.014576861486081354,6.721277116500531e-05
EWJ,0.012307541307875708,7.071598488154567e-05
XLY,0.13065117390288322,0.00010089712477624406
VBR,0.05141485557648222,7.667484365113091e-05
MUB,0.031866316472456545,2.01726845923982e-06
VT,0.06062843766938886,6.471492852419811e-05
VXUS,0.017455380915207146,6.430282047901623e-05
BIV,0.03027828650411825,3.7869033273056328e-06
MINT,0.02202508231083902,3.37897727375803e-08
IAU,0.014460367828321692,3.67094975070061e-05
XLE,0.00660866362635318,0.0001444603788705972
IGSB,0.030608058866424995,4.685941628264884e-07
EFAV,0.033496416065370294,3.207998093901467e-05
QUAL,0.10293324928964342,7.551850089411106e-05
SPLV,0.11283203942069377,4.370909678651631e-05
XLP,0.03098953625966208,5.897391192176674e-05
GOVT,0.023075202218812846,3.620674335712309e-06
IWP,0.13238443340036035,9.854898468033203e-05
IWS,0.044258151274467236,6.022424725603205e-05
ACWI,0.06344420713833457,6.535107719311139e-05
FLOT,0.020709546214833216,2.2312478468947991e-07
XLI,0.07905602937644096,0.00010393577960251628
SCZ,0.012095193662530307,6.272839167688404e-05
XLU,0.08332893933691567,6.774900352802869e-05
IWV,0.09409382863972203,7.595657417158051e-05
SCHD,0.09459563437514718,6.569206779499606e-05
VHT,0.10312288156329635,9.227848770190429e-05
IWO,0.0930548205839223,0.00012775410015748107
VOE,0.04776670982569999,6.478899690062939e-05
VMBS,0.022500376071776122,2.0486854698074046e-06
GDX,0.005857637855913096,0.00020995879796497993
FDN,0.1980750102703861,0.00018951840895572273
MTUM,0.1429897453835012,0.00011358887260475631
AMLP,-0.0035319008997711865,0.0001622833489491642
IWN,0.032583553971511074,8.530136245575955e-05
VBK,0.11652343801200818,0.00010981443763183763
JNK,0.03318368970754282,8.217685120385162e-06
EWZ,0.16552422954918614,0.0003463273813614768
SCHA,0.06690320197358347,9.419476438835891e-05
BIL,0.015624972250245167,2.04979285385812e-08
SCHG,0.12680876380443973,9.982036689837796e-05
VFH,0.09519220716812252,0.00010496079174780782
IBB,0.051628522558902094,0.00018588825841605244
IJK,0.06943506728905258,8.368756330000504e-05
JPST,0.02385047873614769,1.1034904031138471e-07
DGRO,0.11159666731954784,6.375627600902594e-05
IEI,0.02163367381608524,2.3217773788637837e-06
HDV,0.0812898889375325,5.312291114489603e-05
VXF,0.08200612450046461,8.934223147926325e-05
EZU,0.0020026548854302985,7.892221079628649e-05
SCHP,0.024705499095181854,3.9669887245732665e-06
FVD,0.08079823310417099,3.978110517314524e-05
NEAR,0.020824155380130535,8.134259871642166e-08
IGIB,0.04406447100144002,2.050234078508894e-06
SCHZ,0.027344335253164306,2.167719634966949e-06
IJJ,0.048554040238610346,8.129106659851176e-05
IUSG,0.12389928604340024,9.535671291991784e-05
VTIP,0.016913470039090488,6.743191964363272e-07
VOT,0.10995596258883121,9.203806588446871e-05
IJS,0.04786639292608537,0.00010022638580548001
SCHM,0.08888024763321897,7.772343206042848e-05
VNQI,0.05128374067923982,5.1005147798063105e-05
EFV,-0.001975304376159285,5.959480056169149e-05
SCHE,0.04400998147847937,0.00012005796937315299
SCHV,0.07313694895831362,6.110944883139044e-05
SCHH,0.07665301733486816,8.019267007179125e-05
SCHO,0.0168842777535326,3.273751642394925e-07
GUNR,0.07339481702446518,8.169679229941912e-05
IJT,0.08399167957327744,0.00010706789192557875
EEMV,0.04726827857637471,6.016345678781323e-05
IUSV,0.06591540887247051,6.473225835610668e-05
FXI,0.034525463727278376,0.00017753431843428873
SPSB,0.018236805884647732,3.724320180686766e-07
PRF,0.06683355727618932,6.611212803281678e-05
XLC,-0.028310988747256835,8.064791788998536e-05
