SPY,SPDR S&P 500 ETF,252762022,Equity,NA
IVV,iShares Core S&P 500 ETF,173144793.4,Equity,NA
VTI,Vanguard Total Stock Market ETF,110635229.7,Equity,NA
VOO,Vanguard S&P 500 ETF,108520928.9,Equity,NA
VEA,Vanguard FTSE Developed Markets ETF,70234168.84,Equity,Developed
QQQ,Invesco QQQ,67226332.62,Equity,NA
IEFA,iShares Core MSCI EAFE ETF,62821507.28,Equity,Developed
AGG,iShares Core U.S. Aggregate Bond ETF,62404582.21,Fixed Income,NA
VWO,Vanguard FTSE Emerging Markets ETF,62015455.64,Equity,Emerging
EFA,iShares MSCI EAFE ETF,60930775.04,Equity,Developed
IEMG,iShares Core MSCI Emerging Markets ETF,56798663.14,Equity,Emerging
IJH,iShares Core S&P Mid-Cap ETF,48209810.77,Equity,NA
VTV,Vanguard Value ETF,46808161.8,Equity,NA
IJR,iShares Core S&P Small-Cap ETF,42516247.51,Equity,NA
IWF,iShares Russell 1000 Growth ETF,42253513.96,Equity,NA
IWM,iShares Russell 2000 ETF,40684941.25,Equity,NA
BND,Vanguard Total Bond Market ETF,40322880.09,Fixed Income,
VUG,Vanguard Growth ETF,38184169.75,Equity,NA
IWD,iShares Russell 1000 Value ETF,37368592.62,Equity,NA
VIG,Vanguard Dividend Appreciation ETF,33661707.9,Equity,NA
VNQ,Vanguard Real Estate Index Fund,33465031.42,Equity,NA
GLD,SPDR Gold Trust,32331063.54,Commodity,
LQD,iShares iBoxx $ Investment Grade Corporate Bond ETF,31697940.24,Fixed Income,
EEM,iShares MSCI Emerging Markets ETF,31064997.41,Equity,Emerging
USMV,iShares Edge MSCI Min Vol USA ETF,27062080.13,Equity,NA
VO,Vanguard Mid-Cap Index ETF,25076642.11,Equity,NA
VCIT,Vanguard Intermediate-Term Corporate Bond ETF,24350853.33,Fixed Income,
VB,Vanguard Small Cap ETF,24239369.4,Equity,NA
VCSH,Vanguard Short-Term Corporate Bond ETF,23612613.73,Fixed Income,
VYM,Vanguard High Dividend Yield ETF,23484076.77,Equity,NA
XLF,Financial Select Sector SPDR Fund,23287378.04,Equity,NA
